ProductLocation id,Product Name,Location Name,Current Quantity,Cost Value,Price Value,Profit Value
5c2af9b6-a6bc-49c1-a1e8-76d3f644c0cf,Juvederm Ultra Plus 1ML,Rella Aesthetics - Napa,7.0,0.0,4900.0,4900.0
5d2b19c2-5200-487b-94f0-f2c91c9c15bb,Powder Defense,Rella Aesthetics,4.0,0.0,220.0,220.0
5d8a1214-656f-41ec-af9e-dbe3f51666bb,Tinted Defense,Rella Aesthetics - Napa,7.0,140.0,280.0,140.0
607f1270-2594-4e0b-acc2-ee28d22df2a3,Silymarin CF,Rella Aesthetics,7.0,637.0,1274.0,637.0
63fa090e-670b-4489-85e8-c367d7feae25,BodySculpt' Contouring x6 Packages,Rella Aesthetics - Napa,-2.0,0.0,-4000.0,-4000.0
6568934e-9f72-4910-bcaa-13297b94d2ab,Cancellation/No Show Fee,Rella Aesthetics,-94.0,0.0,-4700.0,-4700.0
68150dc9-ccc1-4f18-ac25-6599605d4ae8,Soothing Cleanser,Rella Aesthetics - Napa,6.0,117.0,240.0,123.0
6a19d276-692c-4581-a4e0-0dfafb428337,Soothing Cleanser,Rella Aesthetics,3.0,58.5,120.0,61.5
6ea9ce57-7ffc-4e04-a5d4-784c2cb7c8f9,Juvederm Volbella XC,Rella Aesthetics - Napa,3.0,0.0,2400.0,2400.0
6f9ae801-d14e-4745-bbf7-82cff8797a73,AHA / BHA Exfoliating Polish,Rella Aesthetics - Napa,15.0,420.0,840.0,420.0
7278cd75-7aa3-4a5d-94f7-943020c74e1a,Brightening Even Skin Tone Pads,Rella Aesthetics - Napa,9.0,369.0,738.0,369.0
762d8a74-3730-4b3b-ad11-d4dc49cc5287,C E Ferulic,Rella Aesthetics,8.0,728.0,1456.0,728.0
77b3aff9-0555-42d0-b7fe-9c016aa100a8,AHA / BHA Exfoliating Polish,Rella Aesthetics,13.0,364.0,728.0,364.0
79aba6a1-210d-47a7-8f91-c7470512a543,Semaglutide x6 month Supply,Rella Aesthetics,-11.0,0.0,-27500.0,-27500.0
7a577a30-11b9-4405-8352-22fae14dfc27,Juvederm Ultra XC,Rella Aesthetics,7.0,0.0,4900.0,4900.0
7d928009-6f51-423e-b81b-bc984ad3196b,P-TIOX,Rella Aesthetics,3.0,234.0,444.0,210.0
7faa8df4-b429-4069-aaeb-19d7d974b462,Restylane Kysse,Rella Aesthetics,24.0,0.0,16800.0,16800.0
80104c2d-a678-4c52-ad1b-00815d347c13,Dual Active Phyto GF,Rella Aesthetics,8.0,500.0,1000.0,500.0
80e8e669-57e9-489c-90de-358da2f4367a,Stocking Stuffer,Rella Aesthetics,-14.0,0.0,-350.0,-350.0
81ddd3d1-e906-4c8f-98dd-46a6faa0dd29,Soothing Recovery Ointment,Rella Aesthetics - Napa,0.0,0.0,0.0,0.0
82690268-95b3-4cdb-97c2-c354ade7f05d,Event Deposits,Rella Aesthetics,-10.0,0.0,0.0,0.0
8346b6bd-7b4c-4ca5-9da6-2be3e97035c7,Restylane Lyft,Rella Aesthetics - Napa,5.0,0.0,3500.0,3500.0
83b5efac-a3cc-46d2-8b47-1e9a2d9298af,Restylane Contour,Rella Aesthetics - Napa,8.0,0.0,5600.0,5600.0
83c1aea4-2a04-4741-937d-f1d7749adf77,Aquaglow Hyaluronic Acid,Rella Aesthetics,14.0,686.0,1372.0,686.0
8612ca97-9d7d-4cc9-97f1-6f9c02da4323,Tox & Filler 12 Month $480.00,Rella Aesthetics,-3.0,0.0,-1440.0,-1440.0
8628a285-1be1-4e32-9aaa-e12d6cf43410,Semaglutide x6 month Supply,Rella Aesthetics - Napa,-4.0,0.0,-10000.0,-10000.0
871fdd89-25f2-4233-a934-9285b1f246b0,Dysport,Rella Aesthetics - Napa,2690.0,5380.0,13450.0,8070.0
88a9244b-1599-44b9-a6a2-eceab3daeb90,Brightening Even Skin Tone Pads,Rella Aesthetics,13.0,533.0,1066.0,533.0
88e1f53f-5722-4553-9a09-f7ebc3a47665,Juvederm Ultra Plus 1ML,Rella Aesthetics,16.0,0.0,11200.0,11200.0
8b0c607b-5221-4e3c-be93-a5221c9b9e14,Peptide Neck Cream,Rella Aesthetics - Napa,4.0,212.0,424.0,212.0
8bc1d7b5-e80f-47ee-ae29-745cf12c5098,Plump It! SPF 30,Rella Aesthetics - Napa,10.0,225.0,450.0,225.0
8d7946e9-bf1a-4804-b3d3-f8c6105be9ff,Plump It! SPF 30,Rella Aesthetics,21.0,472.5,945.0,472.5
8e0ce38a-ae6b-4987-9145-221eb05eb1df,Jelly mask,Rella Aesthetics,-1.0,0.0,-20.0,-20.0
8ebdde9f-8f04-4121-a89f-3a45818380c6,Restylane Eyelight,Rella Aesthetics,17.0,0.0,13600.0,13600.0
911c5003-921b-4815-9c45-3bed83fc84ec,Dual Active Phyto GF,Rella Aesthetics - Napa,5.0,312.5,625.0,312.5
91c27e80-404e-4dd7-a4bb-a3c53c4e33dd,Silymarin CF,Rella Aesthetics - Napa,0.0,0.0,0.0,0.0
9403c709-b64f-4ce8-b665-07ba31729bb7,BodySculpt' Contouring x6 Packages,Rella Aesthetics,0.0,0.0,0.0,0.0
96e05561-ef56-41eb-8dbe-fc3fd14218bb,RF Microneedling Tips,Rella Aesthetics,-22.0,0.0,0.0,0.0
98550491-8c27-4d88-8f76-72a514d1389f,Juvederm Ultra XC .55mL,Rella Aesthetics - Napa,3.0,1350.0,1350.0,0.0
98ca73ba-a679-4889-a619-44d1cd62df75,Sheer Defense,Rella Aesthetics - Napa,18.0,351.0,702.0,351.0
9983812a-9304-4220-9cab-631fa900eba0,Tirzepatide 6x Months Supply,Rella Aesthetics,0.0,0.0,0.0,0.0
9aa1cf30-075e-468a-8884-1d249e26c484,Micro Exfoliating Scrub,Rella Aesthetics,5.0,87.5,175.0,87.5
9f76c110-5fb3-43b5-b5db-85a3f655f73b,Hydrfacial Lip Perk,Rella Aesthetics - Napa,-7.0,0.0,-280.0,-280.0
a04daa8f-7099-4cdb-a3a7-46ef7e6fca41,September Buy 2 Get 1 Free!,Rella Aesthetics,0.0,0.0,0.0,0.0
abb1857a-99d4-4279-8e95-8dc5510e07aa,Filler 12x Month Membership,Rella Aesthetics,0.0,0.0,0.0,0.0
af6b6c71-7a1e-4a24-aaf0-41bc737ae348,Dysport,Rella Aesthetics,12045.0,24090.0,60225.0,36135.0
b4c350e5-64c0-4d7f-a5d7-2beaeedb4f4d,Blemish + Age Defense,Rella Aesthetics,4.0,212.0,424.0,212.0
b7cfffb0-b88b-46d0-bf05-4b3781069f91,Tirzepatide 3X Months Supply,Rella Aesthetics,0.0,0.0,0.0,0.0
b98b3213-f151-40aa-8da9-5901c92e5a03,Kybella,Rella Aesthetics - Napa,4.0,0.0,2400.0,2400.0
b9fc271d-7122-46af-a404-51c84fce9a14,Cancellation/No Show Fee,Rella Aesthetics - Napa,0.0,0.0,0.0,0.0
bcad3eb7-3585-44eb-b07f-6acb053c6479,Semaglutide x3 Month Supply,Rella Aesthetics,-201.0,0.0,-276375.0,-276375.0
be8234fd-02a5-40af-8d09-411d08ff01ac,Hydrating B5 Gel,Rella Aesthetics,4.0,180.0,360.0,180.0
c0a6a980-0df9-4222-9829-00874b287816,Juvederm Volbella XC,Rella Aesthetics,17.0,0.0,13600.0,13600.0
c1560a83-c373-46e6-9649-e121759999e0,Sculptra,Rella Aesthetics - Napa,2.0,0.0,1600.0,1600.0
c1cdf48c-7073-4af6-824c-e2648466c9a7,Retinol PM Treatment Serum 5x,Rella Aesthetics - Napa,16.0,896.0,1792.0,896.0
c3bbfa08-06a1-40f8-8956-8e834e8f6ea9,Hydrafacial Perk Eye,Rella Aesthetics,-2.0,0.0,-80.0,-80.0
c46399c5-bf11-4028-b45d-b890fe324e76,September Buy 2 get 1 Free!,Rella Aesthetics,0.0,0.0,0.0,0.0
c5b539fd-6203-4233-b200-5d37632dfd22,Restylane Contour,Rella Aesthetics,15.0,0.0,10500.0,10500.0
c72fea9a-33f7-4ea2-8930-ead28f5f2cd4,Tox 12 month Membership,Rella Aesthetics,-34.0,0.0,-8160.0,-8160.0
c79bb993-42ef-47c4-8fdf-0d0798756da5,Membership fee corrections,Rella Aesthetics - Napa,-1.0,0.0,0.0,0.0
c97afcd4-a8e3-44e1-a7a1-2276158cf895,Blemish + Age Defense,Rella Aesthetics - Napa,0.0,0.0,0.0,0.0
cb0dc789-f721-414d-b72f-84b144b8a7a0,C02 Mask,Rella Aesthetics,11.0,0.0,1100.0,1100.0
