QuantityAdjustment id,Location Name,Brand Name,Product Name,Adjustment Reason,Product Quantity Change,Inventory Adjustment Cost
65ad8a9b-632f-4e16-9608-7595ce997c22,Rella Aesthetics,,Juvederm Voluma XC,sale,-4.0,0.0
673dacef-223d-4b3b-b668-490b2828e593,Rella Aesthetics - Napa,,Tox Membership,sale,-1.0,0.0
69e3d42e-b1aa-42a1-bdf3-f660291232f8,Rella Aesthetics - Napa,Galderma,Dysport,recount,-20.0,-40.0
6fb55d79-b7ba-4582-b0cf-b348af00b3ee,Rella Aesthetics - Napa,Rella Skincare,Skincare Kit,sale,-1.0,0.0
725504fb-91a4-4b54-b87f-3d2986cc6da1,Rella Aesthetics - Napa,,Tox Membership,sale,-1.0,0.0
72defffe-1568-4ae6-8a2e-c734e13802de,Rella Aesthetics,Botox,Botox,sale,-12.0,-76.08
73f82b6b-c9a9-4223-a43f-9f3f366f6c87,Rella Aesthetics,Galderma,Restylane L,recount,2.0,0.0
78dddf5a-1eda-4dcf-a91d-59c836d4d874,Rella Aesthetics,Botox,Botox,recount,-800.0,-5072.0
79298285-2b47-490c-8e67-430e7615f8ab,Rella Aesthetics,,Juvederm Volux XC,recount,-1.0,0.0
7a154293-306d-4d38-9629-47166ffe32fb,Rella Aesthetics,,Juvederm Ultra XC,sale,-1.0,0.0
7a287399-667f-4312-bb3e-85c49fe05957,Rella Aesthetics,Botox,Botox,sale,-14.0,-88.76
7b29641d-99da-43a3-90be-f8e1a5be3bc4,Rella Aesthetics,Rella Skincare,Dual Active Phyto GF,sale,-1.0,-62.5
7c041605-3faf-4fa2-8777-de8b065c4703,Rella Aesthetics - Napa,,Semaglutide x1 Month Supply,sale,-1.0,0.0
7c7200bb-f442-4f7a-b26a-3cb4cf59b7ec,Rella Aesthetics,Galderma,Dysport,sale,-12.0,-24.0
7d9a3ef0-faa8-40f0-b71c-a73e735e9112,Rella Aesthetics,Botox,Botox,sale,-50.0,-317.0
7de70320-179f-4a32-a098-a4d3dc6dd435,Rella Aesthetics,,Juvederm Ultra XC,sale,-1.0,0.0
